"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/31/2014","90","Ozone","New Garden","42-029-0100","AQS"
"08/01/2014","68","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"08/02/2014","58","PM2.5","Chester","42-045-0002","AQS"
"08/03/2014","55","PM2.5","Chester","42-045-0002","AQS"
"08/04/2014","71","Ozone","Ancora State Hospital","34-007-1001","AQS"
"08/05/2014","115","Ozone","Clarksboro","34-015-0002","AQS"
"08/06/2014","55","PM2.5","Route 9 Delaware City","10-003-1008","AQS"
"08/07/2014","59","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"08/08/2014","56","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"08/09/2014","52","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"08/10/2014","77","Ozone","Chester","42-045-0002","AQS"
"08/11/2014","57","PM2.5","Chester","42-045-0002","AQS"
"08/12/2014","44","PM2.5","Gibbstown","34-015-0004","AQS"
"08/13/2014","45","Ozone","BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK","10-003-1013","AQS"
"08/14/2014","50","Ozone","BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK","10-003-1013","AQS"
"08/15/2014","48","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"08/16/2014","97","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"08/17/2014","66","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"08/18/2014","52","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"08/19/2014","74","Ozone","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"08/20/2014","97","Ozone","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"08/21/2014","59","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"08/22/2014","54","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"08/23/2014","56","PM2.5","Chester","42-045-0002","AQS"
"08/24/2014","50","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"08/25/2014","59","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"08/26/2014","112","Ozone","BCSP","10-003-1010","AQS"
"08/27/2014","172","Ozone","Bristol","42-017-0012","AQS"
"08/28/2014","45","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"08/29/2014","49","Ozone","BCSP","10-003-1010","AQS"
"08/30/2014","48","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"08/31/2014","60","PM2.5","Chester","42-045-0002","AQS"
"09/01/2014","53","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"09/02/2014","60","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"09/03/2014","50","Ozone","Ancora State Hospital","34-007-1001","AQS"
"09/04/2014","90","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"09/05/2014","68","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"09/06/2014","62","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"09/07/2014","44","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"09/08/2014","45","PM2.5","Chester","42-045-0002","AQS"
"09/09/2014","67","PM2.5","Chester","42-045-0002","AQS"
"09/10/2014","53","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"09/11/2014","56","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"09/12/2014","38","Ozone","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"09/13/2014","33","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"09/14/2014","31","Ozone","Ancora State Hospital","34-007-1001","AQS"
"09/15/2014","40","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"09/16/2014","54","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"09/17/2014","53","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"09/18/2014","56","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"09/19/2014","62","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"09/20/2014","61","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"09/21/2014","55","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"09/22/2014","29","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"09/23/2014","50","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"09/24/2014","60","PM2.5","Chester","42-045-0002","AQS"
"09/25/2014","53","PM2.5","Chester","42-045-0002","AQS"
"09/26/2014","54","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"09/27/2014","61","PM2.5","Bristol","42-017-0012","AQS"
"09/28/2014","97","Ozone","Bristol","42-017-0012","AQS"
"09/29/2014","72","PM2.5","New Garden","42-029-0100","AQS"
"09/30/2014","56","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"10/01/2014","54","PM2.5","Chester","42-045-0002","AQS"
"10/02/2014","39","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"10/03/2014","51","PM2.5","Chester","42-045-0002","AQS"
"10/04/2014","39","PM2.5","Chester","42-045-0002","AQS"
"10/05/2014","60","PM2.5","Bristol","42-017-0012","AQS"
"10/06/2014","54","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"10/07/2014","55","PM2.5","Chester","42-045-0002","AQS"
"10/08/2014","54","PM2.5","Chester","42-045-0002","AQS"
"10/09/2014","57","PM2.5","Chester","42-045-0002","AQS"
"10/10/2014","64","PM2.5","Chester","42-045-0002","AQS"
"10/11/2014","63","PM2.5","Chester","42-045-0002","AQS"
"10/12/2014","56","PM2.5","Chester","42-045-0002","AQS"
"10/13/2014","48","PM2.5","Chester","42-045-0002","AQS"
"10/14/2014","54","PM2.5","Chester","42-045-0002","AQS"
"10/15/2014","34","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"10/16/2014","45","PM2.5","Chester","42-045-0002","AQS"
"10/17/2014","54","PM2.5","Torresdale Station","42-101-0075","AQS"
"10/18/2014","40","PM2.5","Torresdale Station","42-101-0075","AQS"
"10/19/2014","33","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"10/20/2014","53","PM2.5","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"10/21/2014","60","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"10/22/2014","49","PM2.5","Chester","42-045-0002","AQS"
"10/23/2014","37","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"10/24/2014","38","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"10/25/2014","62","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"10/26/2014","46","PM2.5","Torresdale Station","42-101-0075","AQS"
"10/27/2014","55","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"10/28/2014","68","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"10/29/2014","65","PM2.5","Torresdale Station","42-101-0075","AQS"
"10/30/2014","59","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
