"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/13/2023","90","Ozone","Mountains Edge Park","32-003-0044","AQS"
"07/14/2023","129","Ozone","Walter Johnson","32-003-0071","AQS"
"07/15/2023","100","Ozone","Paul Meyer","32-003-0043","AQS"
"07/16/2023","87","Ozone","Walter Johnson","32-003-0071","AQS"
"07/17/2023","53","PM10","Walnut Community Center","32-003-2003","AQS"
"07/18/2023","50","Ozone","SM Youth Camp","32-003-7771","AQS"
"07/19/2023","51","Ozone","Green Valley","32-003-0298","AQS"
"07/20/2023","93","Ozone","SM Youth Camp","32-003-7771","AQS"
"07/21/2023","101","Ozone","Walter Johnson","32-003-0071","AQS"
"07/22/2023","93","Ozone","Walter Johnson","32-003-0071","AQS"
"07/23/2023","77","PM10","Garrett Jr. High","32-003-0602","AQS"
"07/24/2023","64","Ozone","Mountains Edge Park","32-003-0044","AQS"
"07/25/2023","93","Ozone","Walnut Community Center","32-003-2003","AQS"
"07/26/2023","54","Ozone","Joe Neal","32-003-0075","AQS"
"07/27/2023","48","Ozone","SM Youth Camp","32-003-7771","AQS"
"07/28/2023","61","Ozone","SM Youth Camp","32-003-7771","AQS"
"07/29/2023","74","PM2.5","Garrett Jr. High","32-003-0602","AQS"
"07/30/2023","58","Ozone","Mountains Edge Park","32-003-0044","AQS"
"07/31/2023","128","PM10","Sunrise Acres","32-003-0561","AQS"
"08/01/2023","93","Ozone","Paul Meyer","32-003-0043","AQS"
"08/02/2023","84","Ozone","Mountains Edge Park","32-003-0044","AQS"
"08/03/2023","77","Ozone","Green Valley","32-003-0298","AQS"
"08/04/2023","71","Ozone","Mountains Edge Park","32-003-0044","AQS"
"08/05/2023","67","Ozone","Walnut Community Center","32-003-2003","AQS"
"08/06/2023","77","Ozone","Joe Neal","32-003-0075","AQS"
"08/07/2023","93","Ozone","Mountains Edge Park","32-003-0044","AQS"
"08/08/2023","112","Ozone","SM Youth Camp","32-003-7771","AQS"
"08/09/2023","58","Ozone","Mountains Edge Park","32-003-0044","AQS"
"08/10/2023","46","Ozone","Mountains Edge Park","32-003-0044","AQS"
"08/11/2023","42","Ozone","Indian Springs","32-003-7772","AQS"
"08/12/2023","50","Ozone","Mountains Edge Park","32-003-0044","AQS"
"08/13/2023","50","Ozone","SM Youth Camp","32-003-7771","AQS"
"08/14/2023","64","Ozone","Joe Neal","32-003-0075","AQS"
"08/15/2023","71","Ozone","Mountains Edge Park","32-003-0044","AQS"
"08/16/2023","77","Ozone","Mountains Edge Park","32-003-0044","AQS"
"08/17/2023","77","Ozone","SM Youth Camp","32-003-7771","AQS"
"08/18/2023","64","Ozone","SM Youth Camp","32-003-7771","AQS"
"08/19/2023","46","Ozone","SM Youth Camp","32-003-7771","AQS"
"08/20/2023","36","Ozone","SM Youth Camp","32-003-7771","AQS"
"08/21/2023","39","Ozone","Apex","32-003-0025","AQS"
"08/22/2023","64","Ozone","Mountains Edge Park","32-003-0044","AQS"
"08/23/2023","67","Ozone","Mountains Edge Park","32-003-0044","AQS"
"08/24/2023","77","Ozone","Joe Neal","32-003-0075","AQS"
"08/25/2023","77","Ozone","Joe Neal","32-003-0075","AQS"
"08/26/2023","47","Ozone","SM Youth Camp","32-003-7771","AQS"
"08/27/2023","45","Ozone","SM Youth Camp","32-003-7771","AQS"
"08/28/2023","64","Ozone","Walnut Community Center","32-003-2003","AQS"
"08/29/2023","58","Ozone","SM Youth Camp","32-003-7771","AQS"
"08/30/2023","71","Ozone","Walnut Community Center","32-003-2003","AQS"
"08/31/2023","61","Ozone","SM Youth Camp","32-003-7771","AQS"
"09/01/2023","49","Ozone","SM Youth Camp","32-003-7771","AQS"
"09/02/2023","42","Ozone","Garrett Jr. High","32-003-0602","AQS"
"09/03/2023","43","PM10","Jerome Mack-NCore","32-003-0540","AQS"
"09/04/2023","54","Ozone","Mountains Edge Park","32-003-0044","AQS"
"09/05/2023","67","Ozone","Joe Neal","32-003-0075","AQS"
"09/06/2023","54","Ozone","SM Youth Camp","32-003-7771","AQS"
"09/07/2023","45","PM10","Sunrise Acres","32-003-0561","AQS"
"09/08/2023","47","Ozone","Joe Neal","32-003-0075","AQS"
"09/09/2023","80","Ozone","Paul Meyer","32-003-0043","AQS"
"09/10/2023","44","Ozone","SM Youth Camp","32-003-7771","AQS"
"09/11/2023","51","Ozone","Joe Neal","32-003-0075","AQS"
"09/12/2023","48","Ozone","Palo Verde","32-003-0073","AQS"
"09/13/2023","50","Ozone","Walnut Community Center","32-003-2003","AQS"
"09/14/2023","51","Ozone","Mountains Edge Park","32-003-0044","AQS"
"09/15/2023","51","Ozone","SM Youth Camp","32-003-7771","AQS"
"09/16/2023","61","Ozone","Mountains Edge Park","32-003-0044","AQS"
"09/17/2023","67","Ozone","Paul Meyer","32-003-0043","AQS"
"09/18/2023","44","Ozone","Mountains Edge Park","32-003-0044","AQS"
"09/19/2023","58","Ozone","SM Youth Camp","32-003-7771","AQS"
"09/20/2023","49","Ozone","Mountains Edge Park","32-003-0044","AQS"
"09/21/2023","74","Ozone","Mountains Edge Park","32-003-0044","AQS"
"09/22/2023","84","Ozone","SM Youth Camp","32-003-7771","AQS"
"09/23/2023","74","Ozone","SM Youth Camp","32-003-7771","AQS"
"09/24/2023","67","Ozone","SM Youth Camp","32-003-7771","AQS"
"09/25/2023","50","Ozone","Palo Verde","32-003-0073","AQS"
"09/26/2023","50","Ozone","Green Valley","32-003-0298","AQS"
"09/27/2023","71","Ozone","SM Youth Camp","32-003-7771","AQS"
"09/28/2023","71","Ozone","SM Youth Camp","32-003-7771","AQS"
"09/29/2023","58","Ozone","Mountains Edge Park","32-003-0044","AQS"
"09/30/2023","51","Ozone","SM Youth Camp","32-003-7771","AQS"
"10/01/2023","44","Ozone","Paul Meyer","32-003-0043","AirNow"
"10/02/2023","46","Ozone","Garrett Jr. High","32-003-0602","AirNow"
"10/03/2023","38","Ozone","Mountains Edge Park","32-003-0044","AirNow"
"10/04/2023","35","Ozone","Jean","32-003-1019","AirNow"
"10/05/2023","41","Ozone","Paul Meyer","32-003-0043","AirNow"
"10/06/2023","38","Ozone","Jean","32-003-1019","AirNow"
"10/07/2023","43","Ozone","Paul Meyer","32-003-0043","AirNow"
