"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/15/2010","39","Ozone","HERITAGE PARK","20-091-0010","AQS"
"02/16/2010","47","PM2.5","Troost","29-095-0034","AQS"
"02/17/2010","41","PM2.5","Troost","29-095-0034","AQS"
"02/18/2010","55","PM2.5","Troost","29-095-0034","AQS"
"02/19/2010","57","PM2.5","JFK","20-209-0021","AQS"
"02/20/2010","74","PM2.5","Troost","29-095-0034","AQS"
"02/21/2010","64","PM2.5","Troost","29-095-0034","AQS"
"02/22/2010","59","PM2.5","Troost","29-095-0034","AQS"
"02/23/2010","66","PM2.5","Troost","29-095-0034","AQS"
"02/24/2010","52","PM2.5","Troost","29-095-0034","AQS"
"02/25/2010","59","PM2.5","JUSTICE CENTER","20-091-0007","AQS"
"02/26/2010","65","PM2.5","Troost","29-095-0034","AQS"
"02/27/2010","72","PM2.5","Troost","29-095-0034","AQS"
"02/28/2010","75","PM2.5","JUSTICE CENTER","20-091-0007","AQS"
"03/01/2010","59","PM2.5","Troost","29-095-0034","AQS"
"03/02/2010","68","PM2.5","Troost","29-095-0034","AQS"
"03/03/2010","95","PM2.5","Troost","29-095-0034","AQS"
"03/04/2010","77","PM2.5","Troost","29-095-0034","AQS"
"03/05/2010","57","PM2.5","Troost","29-095-0034","AQS"
"03/06/2010","74","PM2.5","Troost","29-095-0034","AQS"
"03/07/2010","55","PM2.5","Troost","29-095-0034","AQS"
"03/08/2010","60","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"03/09/2010","51","PM2.5","JFK","20-209-0021","AQS"
"03/10/2010","38","Ozone","HERITAGE PARK","20-091-0010","AQS"
"03/11/2010","31","Ozone","HERITAGE PARK","20-091-0010","AQS"
"03/12/2010","28","Ozone","MINE CREEK","20-107-0002","AQS"
"03/13/2010","49","PM2.5","Troost","29-095-0034","AQS"
"03/14/2010","52","PM2.5","Troost","29-095-0034","AQS"
"03/15/2010","59","PM2.5","Troost","29-095-0034","AQS"
"03/16/2010","59","PM2.5","Troost","29-095-0034","AQS"
"03/17/2010","59","PM2.5","Troost","29-095-0034","AQS"
"03/18/2010","62","PM2.5","JFK","20-209-0021","AQS"
"03/19/2010","58","PM2.5","Liberty","29-047-0005","AQS"
"03/20/2010","37","Ozone","Leavenworth","20-103-0003","AQS"
"03/21/2010","43","Ozone","Leavenworth","20-103-0003","AQS"
"03/22/2010","56","PM2.5","Troost","29-095-0034","AQS"
"03/23/2010","53","PM2.5","Troost","29-095-0034","AQS"
"03/24/2010","56","PM2.5","JFK","20-209-0021","AQS"
"03/25/2010","41","Ozone","HERITAGE PARK","20-091-0010","AQS"
"03/26/2010","42","Ozone","HERITAGE PARK","20-091-0010","AQS"
"03/27/2010","39","PM2.5","Troost","29-095-0034","AQS"
"03/28/2010","51","PM2.5","Troost","29-095-0034","AQS"
"03/29/2010","51","PM2.5","Troost","29-095-0034","AQS"
"03/30/2010","64","Ozone","HERITAGE PARK","20-091-0010","AQS"
"03/31/2010","67","Ozone","HERITAGE PARK","20-091-0010","AQS"
"04/01/2010","64","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/02/2010","53","PM2.5","JFK","20-209-0021","AQS"
"04/03/2010","48","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/04/2010","64","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/05/2010","61","PM2.5","Troost","29-095-0034","AQS"
"04/06/2010","57","PM2.5","Troost","29-095-0034","AQS"
"04/07/2010","38","Ozone","HERITAGE PARK","20-091-0010","AQS"
"04/08/2010","51","Ozone","HERITAGE PARK","20-091-0010","AQS"
"04/09/2010","97","Ozone","Leavenworth","20-103-0003","AQS"
"04/10/2010","101","Ozone","HERITAGE PARK","20-091-0010","AQS"
"04/11/2010","100","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/12/2010","101","Ozone","Trimble","29-049-0001","AQS"
"04/13/2010","108","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/14/2010","84","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/15/2010","71","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/16/2010","45","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"04/17/2010","50","Ozone","HERITAGE PARK","20-091-0010","AQS"
"04/18/2010","61","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/19/2010","77","Ozone","HERITAGE PARK","20-091-0010","AQS"
"04/20/2010","101","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/21/2010","75","PM2.5","Troost","29-095-0034","AQS"
"04/22/2010","73","PM2.5","Liberty","29-047-0005","AQS"
"04/23/2010","55","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"04/24/2010","44","Ozone","MINE CREEK","20-107-0002","AQS"
"04/25/2010","52","PM2.5","Troost","29-095-0034","AQS"
"04/26/2010","44","PM2.5","JFK","20-209-0021","AQS"
"04/27/2010","43","PM2.5","Troost","29-095-0034","AQS"
"04/28/2010","54","Ozone","MINE CREEK","20-107-0002","AQS"
"04/29/2010","90","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"04/30/2010","48","Ozone","Leavenworth","20-103-0003","AQS"
"05/01/2010","54","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"05/02/2010","67","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"05/03/2010","47","Ozone","MINE CREEK","20-107-0002","AQS"
"05/04/2010","97","Ozone","Leavenworth","20-103-0003","AQS"
"05/05/2010","77","Ozone","HERITAGE PARK","20-091-0010","AQS"
"05/06/2010","58","Ozone","MINE CREEK","20-107-0002","AQS"
"05/07/2010","42","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"05/08/2010","43","Ozone","Rocky Creek","29-047-0006","AQS"
"05/09/2010","40","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"05/10/2010","35","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"05/11/2010","38","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"05/12/2010","66","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"05/13/2010","33","Ozone","MINE CREEK","20-107-0002","AQS"
"05/14/2010","50","PM2.5","Troost","29-095-0034","AQS"
"05/15/2010","41","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"05/16/2010","35","Ozone","Leavenworth","20-103-0003","AQS"
"05/17/2010","46","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"05/18/2010","74","Ozone","HERITAGE PARK","20-091-0010","AQS"
"05/19/2010","52","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"05/20/2010","47","Ozone","HERITAGE PARK","20-091-0010","AQS"
"05/21/2010","44","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"05/22/2010","59","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"05/23/2010","64","PM2.5","Liberty","29-047-0005","AQS"
"05/24/2010","57","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"05/25/2010","80","Ozone","Rocky Creek","29-047-0006","AQS"
"05/26/2010","59","PM2.5","Troost","29-095-0034","AQS"
"05/27/2010","97","Ozone","HERITAGE PARK","20-091-0010","AQS"
"05/28/2010","100","Ozone","Leavenworth","20-103-0003","AQS"
"05/29/2010","143","Ozone","Leavenworth","20-103-0003","AQS"
"05/30/2010","126","Ozone","Rocky Creek","29-047-0006","AQS"
"05/31/2010","67","Ozone","Trimble","29-049-0001","AQS"
"06/01/2010","115","Ozone","Trimble","29-049-0001","AQS"
"06/02/2010","67","Ozone","HERITAGE PARK","20-091-0010","AQS"
"06/03/2010","101","Ozone","HERITAGE PARK","20-091-0010","AQS"
"06/04/2010","112","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"06/05/2010","61","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"06/06/2010","51","Ozone","HERITAGE PARK","20-091-0010","AQS"
"06/07/2010","49","Ozone","Trimble","29-049-0001","AQS"
"06/08/2010","45","PM2.5","Troost","29-095-0034","AQS"
"06/09/2010","51","Ozone","Leavenworth","20-103-0003","AQS"
"06/10/2010","50","PM2.5","Troost","29-095-0034","AQS"
"06/11/2010","65","PM2.5","Troost","29-095-0034","AQS"
"06/12/2010","52","PM2.5","Troost","29-095-0034","AQS"
"06/13/2010","41","Ozone","Rocky Creek","29-047-0006","AQS"
"06/14/2010","43","PM2.5","JFK","20-209-0021","AQS"
"06/15/2010","42","Ozone","Liberty","29-047-0005","AQS"
"06/16/2010","58","Ozone","Rocky Creek","29-047-0006","AQS"
"06/17/2010","44","Ozone","Trimble","29-049-0001","AQS"
"06/18/2010","48","PM2.5","Troost","29-095-0034","AQS"
"06/19/2010","42","Ozone","Trimble","29-049-0001","AQS"
"06/20/2010","47","Ozone","HERITAGE PARK","20-091-0010","AQS"
"06/21/2010","50","PM2.5","Troost","29-095-0034","AQS"
"06/22/2010","74","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"06/23/2010","64","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"06/24/2010","105","Ozone","HERITAGE PARK","20-091-0010","AQS"
"06/25/2010","140","Ozone","Trimble","29-049-0001","AQS"
"06/26/2010","67","Ozone","Trimble","29-049-0001","AQS"
"06/27/2010","45","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"06/28/2010","49","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"06/29/2010","58","Ozone","HERITAGE PARK","20-091-0010","AQS"
"06/30/2010","71","Ozone","Leavenworth","20-103-0003","AQS"
"07/01/2010","101","Ozone","Leavenworth","20-103-0003","AQS"
"07/02/2010","115","Ozone","Rocky Creek","29-047-0006","AQS"
"07/03/2010","59","PM2.5","Liberty","29-047-0005","AQS"
"07/04/2010","69","PM2.5","JFK","20-209-0021","AQS"
"07/05/2010","42","PM2.5","Troost","29-095-0034","AQS"
"07/06/2010","46","Ozone","Trimble","29-049-0001","AQS"
"07/07/2010","46","PM2.5","Troost","29-095-0034","AQS"
"07/08/2010","38","PM2.5","Troost","29-095-0034","AQS"
"07/09/2010","61","Ozone","HERITAGE PARK","20-091-0010","AQS"
"07/10/2010","119","Ozone","Rocky Creek","29-047-0006","AQS"
"07/11/2010","42","Ozone","HERITAGE PARK","20-091-0010","AQS"
"07/12/2010","48","Ozone","Liberty","29-047-0005","AQS"
"07/13/2010","67","Ozone","Trimble","29-049-0001","AQS"
"07/14/2010","64","PM2.5","Richard Gebaur-South","29-037-0003","AQS"
"07/15/2010","77","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"07/16/2010","54","Ozone","Rocky Creek","29-047-0006","AQS"
"07/17/2010","93","Ozone","Rocky Creek","29-047-0006","AQS"
"07/18/2010","61","Ozone","Liberty","29-047-0005","AQS"
"07/19/2010","62","PM2.5","JFK","20-209-0021","AQS"
"07/20/2010","49","PM2.5","JFK","20-209-0021","AQS"
"07/21/2010","71","Ozone","Leavenworth","20-103-0003","AQS"
"07/22/2010","56","PM2.5","Liberty","29-047-0005","AQS"
"07/23/2010","59","PM2.5","JFK","20-209-0021","AQS"
"07/24/2010","53","PM2.5","JFK","20-209-0021","AQS"
"07/25/2010","45","PM2.5","JFK","20-209-0021","AQS"
"07/26/2010","67","Ozone","Rocky Creek","29-047-0006","AQS"
"07/27/2010","105","Ozone","Trimble","29-049-0001","AQS"
"07/28/2010","80","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"07/29/2010","47","PM2.5","Troost","29-095-0034","AQS"
"07/30/2010","50","PM2.5","JFK","20-209-0021","AQS"
"07/31/2010","50","Ozone","HERITAGE PARK","20-091-0010","AQS"
"08/01/2010","64","Ozone","Leavenworth","20-103-0003","AQS"
"08/02/2010","101","Ozone","Trimble","29-049-0001","AQS"
"08/03/2010","90","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"08/04/2010","67","Ozone","HERITAGE PARK","20-091-0010","AQS"
"08/05/2010","74","Ozone","HERITAGE PARK","20-091-0010","AQS"
"08/06/2010","84","Ozone","Leavenworth","20-103-0003","AQS"
"08/07/2010","84","Ozone","Trimble","29-049-0001","AQS"
"08/08/2010","112","Ozone","Trimble","29-049-0001","AQS"
"08/09/2010","97","Ozone","Rocky Creek","29-047-0006","AQS"
"08/10/2010","97","Ozone","Trimble","29-049-0001","AQS"
"08/11/2010","147","Ozone","Trimble","29-049-0001","AQS"
"08/12/2010","87","Ozone","Trimble","29-049-0001","AQS"
"08/13/2010","115","Ozone","Watkins Mill State Park","29-047-0003","AQS"
"08/14/2010","74","Ozone","Richard Gebaur-South","29-037-0003","AQS"
"08/15/2010","44","Ozone","HERITAGE PARK","20-091-0010","AQS"
"08/16/2010","51","Ozone","Leavenworth","20-103-0003","AQS"
