"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/08/2018","61","Ozone","Garinger High School","37-119-0041","AQS"
"07/09/2018","87","Ozone","Not Available","45-091-8801","AQS"
"07/10/2018","93","Ozone","Not Available","45-091-8801","AQS"
"07/11/2018","122","Ozone","Monroe School","37-179-0003","AQS"
"07/12/2018","80","Ozone","Garinger High School","37-119-0041","AQS"
"07/13/2018","54","PM2.5","Remount","37-119-0045","AQS"
"07/14/2018","57","PM2.5","Remount","37-119-0045","AQS"
"07/15/2018","52","PM2.5","Remount","37-119-0045","AQS"
"07/16/2018","51","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"07/17/2018","51","PM2.5","Not Available","45-091-8801","AQS"
"07/18/2018","77","Ozone","Garinger High School","37-119-0041","AQS"
"07/19/2018","48","PM2.5","Remount","37-119-0045","AQS"
"07/20/2018","51","Ozone","Crouse","37-109-0004","AQS"
"07/21/2018","64","Ozone","University Meadows","37-119-0046","AQS"
"07/22/2018","48","Ozone","University Meadows","37-119-0046","AQS"
"07/23/2018","42","Ozone","Garinger High School","37-119-0041","AQS"
"07/24/2018","45","Ozone","Crouse","37-109-0004","AQS"
"07/25/2018","43","Ozone","Not Available","45-091-8801","AQS"
"07/26/2018","64","Ozone","Garinger High School","37-119-0041","AQS"
"07/27/2018","84","Ozone","University Meadows","37-119-0046","AQS"
"07/28/2018","67","Ozone","Not Available","45-091-8801","AQS"
"07/29/2018","47","PM2.5","Not Available","45-091-8801","AQS"
"07/30/2018","44","Ozone","Garinger High School","37-119-0041","AQS"
"07/31/2018","38","PM2.5","Remount","37-119-0045","AQS"
"08/01/2018","29","Ozone","Monroe School","37-179-0003","AQS"
"08/02/2018","28","Ozone","University Meadows","37-119-0046","AQS"
"08/03/2018","25","Ozone","Crouse","37-109-0004","AQS"
"08/04/2018","44","Ozone","University Meadows","37-119-0046","AQS"
"08/05/2018","40","Ozone","University Meadows","37-119-0046","AQS"
"08/06/2018","50","Ozone","University Meadows","37-119-0046","AQS"
"08/07/2018","54","Ozone","University Meadows","37-119-0046","AQS"
"08/08/2018","48","Ozone","Rockwell","37-159-0021","AQS"
"08/09/2018","61","Ozone","Monroe School","37-179-0003","AQS"
"08/10/2018","56","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"08/11/2018","46","Ozone","University Meadows","37-119-0046","AQS"
"08/12/2018","44","Ozone","Garinger High School","37-119-0041","AQS"
"08/13/2018","58","Ozone","University Meadows","37-119-0046","AQS"
"08/14/2018","53","PM2.5","Remount","37-119-0045","AQS"
