"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/05/2022","85","PM10","PINAL AIR PARK","04-021-3007","AQS"
"04/06/2022","67","Ozone","CASA GRANDE AIRPORT","04-021-3003","AQS"
"04/07/2022","55","PM10","WEST 43RD AVENUE","04-013-4009","AQS"
"04/08/2022","71","PM10","WEST 43RD AVENUE","04-013-4009","AQS"
"04/09/2022","71","PM2.5","MESA","04-013-1003","AQS"
"04/10/2022","56","PM10","WEST 43RD AVENUE","04-013-4009","AQS"
"04/11/2022","75","PM10","WEST 43RD AVENUE","04-013-4009","AQS"
"04/12/2022","135","PM10","WEST 43RD AVENUE","04-013-4009","AQS"
"04/13/2022","62","PM10","WEST 43RD AVENUE","04-013-4009","AQS"
"04/14/2022","93","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"04/15/2022","78","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"04/16/2022","71","PM2.5","SOUTH PHOENIX","04-013-4003","AQS"
"04/17/2022","74","Ozone","FALCON FIELD","04-013-1010","AQS"
"04/18/2022","105","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"04/19/2022","97","PM10","WEST 43RD AVENUE","04-013-4009","AQS"
"04/20/2022","70","PM10","WEST 43RD AVENUE","04-013-4009","AQS"
"04/21/2022","80","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"04/22/2022","131","PM10","WEST 43RD AVENUE","04-013-4009","AQS"
"04/23/2022","84","Ozone","QUEEN VALLEY","04-021-8001","AQS"
"04/24/2022","71","PM10","STANFIELD","04-021-3008","AQS"
"04/25/2022","112","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS"
"04/26/2022","119","Ozone","NORTH PHOENIX","04-013-1004","AQS"
"04/27/2022","84","Ozone","PINNACLE PEAK","04-013-2005","AQS"
"04/28/2022","77","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS"
"04/29/2022","133","Ozone","QUEEN VALLEY","04-021-8001","AQS"
"04/30/2022","105","Ozone","FALCON FIELD","04-013-1010","AQS"
"05/01/2022","87","Ozone","PINNACLE PEAK","04-013-2005","AQS"
"05/02/2022","90","Ozone","FOUNTAIN HILLS","04-013-9704","AQS"
"05/03/2022","74","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"05/04/2022","84","Ozone","QUEEN VALLEY","04-021-8001","AQS"
"05/05/2022","107","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"05/06/2022","122","Ozone","PINNACLE PEAK","04-013-2005","AQS"
"05/07/2022","74","Ozone","PINNACLE PEAK","04-013-2005","AQS"
"05/08/2022","71","PM10","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"05/09/2022","77","Ozone","PINNACLE PEAK","04-013-2005","AQS"
"05/10/2022","93","Ozone","High School Air Monitoring Station","04-013-7024","AQS"
