"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"12/21/2017","37","PM2.5","Columbia Pm 2.5","47-119-2007","AQS"
"12/22/2017","27","PM2.5","Near Road","47-037-0040","AQS"
"12/23/2017","25","PM2.5","Lockeland","47-037-0023","AQS"
"12/24/2017","44","PM2.5","Hendersonville Ozone Site at Old Hickory Dam","47-165-0007","AQS"
"12/25/2017","23","PM2.5","Lockeland","47-037-0023","AQS"
"12/26/2017","25","PM2.5","Lockeland","47-037-0023","AQS"
"12/27/2017","25","PM2.5","Near Road","47-037-0040","AQS"
"12/28/2017","36","PM2.5","Columbia Pm 2.5","47-119-2007","AQS"
"12/29/2017","50","PM2.5","Lockeland","47-037-0023","AQS"
"12/30/2017","59","PM2.5","Near Road","47-037-0040","AQS"
"12/31/2017","29","PM2.5","Columbia Pm 2.5","47-119-2007","AQS"
"01/01/2018","28","PM2.5","Lockeland","47-037-0023","AQS"
"01/02/2018","34","PM2.5","Lockeland","47-037-0023","AQS"
"01/03/2018","37","NO2","Near Road","47-037-0040","AQS"
"01/04/2018","52","PM2.5","Lockeland","47-037-0023","AQS"
"01/05/2018","40","PM2.5","Lockeland","47-037-0023","AQS"
"01/06/2018","52","PM2.5","Lockeland","47-037-0023","AQS"
"01/07/2018","49","PM2.5","Near Road","47-037-0040","AQS"
"01/08/2018","38","PM2.5","Lockeland","47-037-0023","AQS"
"01/09/2018","48","PM2.5","Near Road","47-037-0040","AQS"
"01/10/2018","35","PM2.5","Near Road","47-037-0040","AQS"
"01/11/2018","26","NO2","Near Road","47-037-0040","AQS"
"01/12/2018","22","PM2.5","Lockeland","47-037-0023","AQS"
"01/13/2018","24","PM2.5","Lockeland","47-037-0023","AQS"
"01/14/2018","29","PM2.5","Near Road","47-037-0040","AQS"
"01/15/2018","41","PM2.5","Near Road","47-037-0040","AQS"
"01/16/2018","41","PM2.5","Near Road","47-037-0040","AQS"
"01/17/2018","54","PM2.5","Near Road","47-037-0040","AQS"
"01/18/2018","67","PM2.5","Near Road","47-037-0040","AQS"
"01/19/2018","52","PM2.5","Near Road","47-037-0040","AQS"
"01/20/2018","33","PM2.5","Hendersonville Ozone Site at Old Hickory Dam","47-165-0007","AQS"
"01/21/2018","32","PM2.5","Lockeland","47-037-0023","AQS"
"01/22/2018","35","PM2.5","Lockeland","47-037-0023","AQS"
"01/23/2018","26","PM2.5","Lockeland","47-037-0023","AQS"
"01/24/2018","37","PM2.5","Lockeland","47-037-0023","AQS"
"01/25/2018","51","PM2.5","Near Road","47-037-0040","AQS"
"01/26/2018","53","PM2.5","Near Road","47-037-0040","AQS"
"01/27/2018","49","PM2.5","Lockeland","47-037-0023","AQS"
"01/28/2018","33","NO2","Near Road","47-037-0040","AQS"
"01/29/2018","45","PM2.5","Near Road","47-037-0040","AQS"
"01/30/2018","38","PM2.5","Near Road","47-037-0040","AQS"
"01/31/2018","30","PM2.5","Lockeland","47-037-0023","AQS"
"02/01/2018","36","PM2.5","Near Road","47-037-0040","AQS"
"02/02/2018","25","NO2","East Health","47-037-0011","AQS"
"02/03/2018","26","PM2.5","Near Road","47-037-0040","AQS"
