"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/25/2015","11","","Portland - SE Lafayette","41-051-0080","AQS"
"08/28/2015","24","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"08/31/2015","11","","Portland - SE Lafayette","41-051-0080","AQS"
"09/03/2015","10","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"09/06/2015","7","","Portland - SE Lafayette","41-051-0080","AQS"
"09/09/2015","12","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"09/12/2015","14","","Portland - SE Lafayette","41-051-0080","AQS"
"09/15/2015","13","","Sitton Elementary","41-051-2007","AQS"
"09/18/2015","9","","Portland - SE Lafayette","41-051-0080","AQS"
"09/21/2015","14","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"09/24/2015","15","","Portland - SE Lafayette","41-051-0080","AQS"
"09/27/2015","7","","Portland - SE Lafayette","41-051-0080","AQS"
"09/30/2015","14","","Portland - SE Lafayette","41-051-0080","AQS"
"10/03/2015","13","","Portland - SE Lafayette","41-051-0080","AQS"
"10/06/2015","20","","Portland - SE Lafayette","41-051-0080","AQS"
"10/09/2015","21","","Sitton Elementary","41-051-2007","AQS"
"10/12/2015","17","","Portland - SE Lafayette","41-051-0080","AQS"
"10/15/2015","25","","Sitton Elementary","41-051-2007","AQS"
"10/18/2015","16","","Portland - SE Lafayette","41-051-0080","AQS"
"10/21/2015","24","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"10/24/2015","20","","Portland - SE Lafayette","41-051-0080","AQS"
"10/27/2015","17","","Sitton Elementary","41-051-2007","AQS"
"10/30/2015","6","","Portland - SE Lafayette","41-051-0080","AQS"
"11/02/2015","17","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/05/2015","19","","Portland - SE Lafayette","41-051-0080","AQS"
"11/08/2015","8","","Portland - SE Lafayette","41-051-0080","AQS"
"11/11/2015","16","","Portland - SE Lafayette","41-051-0080","AQS"
"11/14/2015","9","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/17/2015","3","","Portland - SE Lafayette","41-051-0080","AQS"
"11/20/2015","9","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/23/2015","30","","Portland - SE Lafayette","41-051-0080","AQS"
"11/26/2015","13","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/29/2015","12","","Portland - SE Lafayette","41-051-0080","AQS"
"12/02/2015","11","","Portland - SE Lafayette","41-051-0080","AQS"
"12/05/2015","5","","Portland - SE Lafayette","41-051-0080","AQS"
"12/08/2015","2","","Portland - SE Lafayette","41-051-0080","AQS"
"12/11/2015","4","","Portland - SE Lafayette","41-051-0080","AQS"
"12/14/2015","11","","Portland - SE Lafayette","41-051-0080","AQS"
"12/17/2015","2","","Portland - SE Lafayette","41-051-0080","AQS"
"12/20/2015","4","","Portland - SE Lafayette","41-051-0080","AQS"
"12/23/2015","6","","Portland - SE Lafayette","41-051-0080","AQS"
"12/26/2015","7","","Portland - SE Lafayette","41-051-0080","AQS"
"12/29/2015","9","","Portland - SE Lafayette","41-051-0080","AQS"
"01/01/2016","9","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"01/04/2016","9","","Portland - SE Lafayette","41-051-0080","AQS"
"01/07/2016","19","","Sitton Elementary","41-051-2007","AQS"
"01/10/2016","5","","Portland - SE Lafayette","41-051-0080","AQS"
"01/13/2016","5","","Portland - SE Lafayette","41-051-0080","AQS"
"01/16/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"01/19/2016","4","","Sitton Elementary","41-051-2007","AQS"
"01/22/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"01/25/2016","10","","Sitton Elementary","41-051-2007","AQS"
"01/28/2016","9","","Portland - SE Lafayette","41-051-0080","AQS"
"01/31/2016","7","","Portland - SE Lafayette","41-051-0080","AQS"
"02/03/2016","5","","Portland - SE Lafayette","41-051-0080","AQS"
"02/06/2016","14","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"02/09/2016","8","","Portland - SE Lafayette","41-051-0080","AQS"
"02/12/2016","12","","Portland - SE Lafayette","41-051-0080","AQS"
"02/15/2016","3","","Portland - SE Lafayette","41-051-0080","AQS"
"02/18/2016","3","","Portland - SE Lafayette","41-051-0080","AQS"
"02/21/2016","15","","Portland - SE Lafayette","41-051-0080","AQS"
"02/24/2016","7","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"02/27/2016","9","","Portland - SE Lafayette","41-051-0080","AQS"
"03/01/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"03/04/2016","12","","Portland - SE Lafayette","41-051-0080","AQS"
"03/07/2016","5","","Portland - SE Lafayette","41-051-0080","AQS"
"03/10/2016","7","","Portland - SE Lafayette","41-051-0080","AQS"
"03/13/2016","2","","Portland - SE Lafayette","41-051-0080","AQS"
"03/16/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"03/19/2016","7","","Portland - SE Lafayette","41-051-0080","AQS"
"03/22/2016","3","","Portland - SE Lafayette","41-051-0080","AQS"
"03/25/2016","9","","Portland - SE Lafayette","41-051-0080","AQS"
"03/28/2016","7","","Portland - SE Lafayette","41-051-0080","AQS"
"03/31/2016","19","","Portland - SE Lafayette","41-051-0080","AQS"
"04/03/2016","12","","Portland - SE Lafayette","41-051-0080","AQS"
"04/06/2016","14","","Portland - SE Lafayette","41-051-0080","AQS"
"04/09/2016","12","","Portland - SE Lafayette","41-051-0080","AQS"
"04/12/2016","8","","Portland - SE Lafayette","41-051-0080","AQS"
"04/15/2016","13","","Portland - SE Lafayette","41-051-0080","AQS"
"04/18/2016","11","","Portland - SE Lafayette","41-051-0080","AQS"
"04/21/2016","9","","Portland - SE Lafayette","41-051-0080","AQS"
"04/24/2016","5","","Portland - SE Lafayette","41-051-0080","AQS"
"04/27/2016","9","","Portland - SE Lafayette","41-051-0080","AQS"
"04/30/2016","10","","Portland - SE Lafayette","41-051-0080","AQS"
"05/03/2016","12","","Portland - SE Lafayette","41-051-0080","AQS"
"05/06/2016","11","","Portland - SE Lafayette","41-051-0080","AQS"
"05/09/2016","11","","Portland - SE Lafayette","41-051-0080","AQS"
"05/12/2016","13","","Portland - SE Lafayette","41-051-0080","AQS"
"05/15/2016","5","","Portland - SE Lafayette","41-051-0080","AQS"
"05/18/2016","8","","Portland - SE Lafayette","41-051-0080","AQS"
"05/21/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"05/24/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"05/27/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"05/30/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"06/02/2016","5","","Portland - SE Lafayette","41-051-0080","AQS"
"06/05/2016","15","","Portland - SE Lafayette","41-051-0080","AQS"
"06/08/2016","15","","Portland - SE Lafayette","41-051-0080","AQS"
"06/11/2016","5","","Portland - SE Lafayette","41-051-0080","AQS"
"06/14/2016","4","","Portland - SE Lafayette","41-051-0080","AQS"
"06/17/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"06/20/2016","9","","Portland - SE Lafayette","41-051-0080","AQS"
"06/23/2016","3","","Portland - SE Lafayette","41-051-0080","AQS"
"06/26/2016","7","","Portland - SE Lafayette","41-051-0080","AQS"
"06/29/2016","7","","Portland - SE Lafayette","41-051-0080","AQS"
"07/02/2016","5","","Portland - SE Lafayette","41-051-0080","AQS"
"07/05/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"07/11/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"07/14/2016","7","","Portland - SE Lafayette","41-051-0080","AQS"
"07/17/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"07/20/2016","8","","Portland - SE Lafayette","41-051-0080","AQS"
"07/23/2016","4","","Portland - SE Lafayette","41-051-0080","AQS"
"07/26/2016","8","","Portland - SE Lafayette","41-051-0080","AQS"
"07/29/2016","13","","Portland - SE Lafayette","41-051-0080","AQS"
"08/01/2016","10","","Portland - SE Lafayette","41-051-0080","AQS"
"08/04/2016","19","","Portland - SE Lafayette","41-051-0080","AQS"
"08/07/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"08/10/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"08/13/2016","11","","Portland - SE Lafayette","41-051-0080","AQS"
"08/16/2016","8","","Portland - SE Lafayette","41-051-0080","AQS"
"08/19/2016","31","","Portland - SE Lafayette","41-051-0080","AQS"
"08/22/2016","9","","Portland - SE Lafayette","41-051-0080","AQS"
"08/25/2016","17","","Portland - SE Lafayette","41-051-0080","AQS"
"08/28/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"08/31/2016","7","","Portland - SE Lafayette","41-051-0080","AQS"
"09/03/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"09/06/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"09/09/2016","12","","Portland - SE Lafayette","41-051-0080","AQS"
"09/12/2016","11","","Portland - SE Lafayette","41-051-0080","AQS"
"09/15/2016","15","","Portland - SE Lafayette","41-051-0080","AQS"
"09/18/2016","5","","Portland - SE Lafayette","41-051-0080","AQS"
"09/21/2016","10","","Portland - SE Lafayette","41-051-0080","AQS"
"09/24/2016","14","","Portland - SE Lafayette","41-051-0080","AQS"
"09/27/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"10/03/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"10/06/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"10/09/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"10/12/2016","12","","Portland - SE Lafayette","41-051-0080","AQS"
"10/15/2016","4","","Portland - SE Lafayette","41-051-0080","AQS"
"10/18/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"10/21/2016","10","","Portland - SE Lafayette","41-051-0080","AQS"
"10/24/2016","8","","Portland - SE Lafayette","41-051-0080","AQS"
"10/27/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"10/30/2016","7","","Portland - SE Lafayette","41-051-0080","AQS"
"11/02/2016","13","","Portland - SE Lafayette","41-051-0080","AQS"
"11/05/2016","10","","Portland - SE Lafayette","41-051-0080","AQS"
"11/08/2016","15","","Portland - SE Lafayette","41-051-0080","AQS"
"11/11/2016","15","","Portland - SE Lafayette","41-051-0080","AQS"
"11/14/2016","4","","Portland - SE Lafayette","41-051-0080","AQS"
"11/17/2016","7","","Portland - SE Lafayette","41-051-0080","AQS"
"11/20/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"11/23/2016","2","","Portland - SE Lafayette","41-051-0080","AQS"
"11/26/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"11/29/2016","9","","Portland - SE Lafayette","41-051-0080","AQS"
"12/02/2016","6","","Portland - SE Lafayette","41-051-0080","AQS"
"12/05/2016","5","","Portland - SE Lafayette","41-051-0080","AQS"
"12/08/2016","9","","Portland - SE Lafayette","41-051-0080","AQS"
"12/11/2016","4","","Portland - SE Lafayette","41-051-0080","AQS"
"12/14/2016","16","","Not Available","41-051-2008","AQS"
"12/17/2016","20","","Portland - SE Lafayette","41-051-0080","AQS"
"12/20/2016","23","","Portland - SE Lafayette","41-051-0080","AQS"
"12/23/2016","12","","Portland - SE Lafayette","41-051-0080","AQS"
"12/26/2016","30","","Portland - SE Lafayette","41-051-0080","AQS"
"12/29/2016","13","","Portland - SE Lafayette","41-051-0080","AQS"
"01/01/2017","8","","Portland - SE Lafayette","41-051-0080","AQS"
"01/04/2017","14","","Portland - SE Lafayette","41-051-0080","AQS"
"01/07/2017","31","","Not Available","41-051-2008","AQS"
"01/10/2017","5","","Portland - SE Lafayette","41-051-0080","AQS"
"01/13/2017","12","","Not Available","41-051-2008","AQS"
"01/16/2017","10","","Portland - SE Lafayette","41-051-0080","AQS"
"01/19/2017","6","","Portland - SE Lafayette","41-051-0080","AQS"
"01/22/2017","6","","Portland - SE Lafayette","41-051-0080","AQS"
"01/25/2017","30","","Portland - SE Lafayette","41-051-0080","AQS"
"01/28/2017","6","","Portland - SE Lafayette","41-051-0080","AQS"
"01/31/2017","13","","Portland - SE Lafayette","41-051-0080","AQS"
"02/03/2017","7","","Portland - SE Lafayette","41-051-0080","AQS"
"02/06/2017","5","","Not Available","41-051-2008","AQS"
"02/09/2017","3","","Portland - SE Lafayette","41-051-0080","AQS"
"02/12/2017","7","","Portland - SE Lafayette","41-051-0080","AQS"
"02/15/2017","6","","Portland - SE Lafayette","41-051-0080","AQS"
"02/18/2017","6","","Not Available","41-051-2008","AQS"
"02/21/2017","6","","Portland - SE Lafayette","41-051-0080","AQS"
"02/24/2017","8","","Not Available","41-051-2008","AQS"
"02/27/2017","2","","Portland - SE Lafayette","41-051-0080","AQS"
"03/02/2017","9","","Portland - SE Lafayette","41-051-0080","AQS"
"03/05/2017","1","","Portland - SE Lafayette","41-051-0080","AQS"
"03/08/2017","7","","Portland - SE Lafayette","41-051-0080","AQS"
"03/11/2017","7","","Portland - SE Lafayette","41-051-0080","AQS"
"03/14/2017","4","","Portland - SE Lafayette","41-051-0080","AQS"
"03/17/2017","9","","Portland - SE Lafayette","41-051-0080","AQS"
"03/20/2017","6","","Portland - SE Lafayette","41-051-0080","AQS"
"03/23/2017","7","","Portland - SE Lafayette","41-051-0080","AQS"
"03/26/2017","5","","Portland - SE Lafayette","41-051-0080","AQS"
"03/29/2017","4","","Portland - SE Lafayette","41-051-0080","AQS"
"04/01/2017","11","","Not Available","41-051-2010","AQS"
"04/04/2017","14","","Portland - SE Lafayette","41-051-0080","AQS"
"04/07/2017","5","","Portland - SE Lafayette","41-051-0080","AQS"
"04/10/2017","6","","Portland - SE Lafayette","41-051-0080","AQS"
"04/13/2017","5","","Not Available","41-051-2008","AQS"
"04/16/2017","5","","Portland - SE Lafayette","41-051-0080","AQS"
"04/19/2017","9","","Not Available","41-051-2010","AQS"
"04/22/2017","6","","Portland - SE Lafayette","41-051-0080","AQS"
"04/25/2017","3","","Not Available","41-051-2010","AQS"
"04/28/2017","7","","Portland - SE Lafayette","41-051-0080","AQS"
"05/01/2017","13","","Not Available","41-051-2010","AQS"
"05/07/2017","7","","Not Available","41-051-2008","AQS"
"05/13/2017","3","","Portland - SE Lafayette","41-051-0080","AQS"
"05/16/2017","4","","Portland - SE Lafayette","41-051-0080","AQS"
"05/19/2017","9","","Not Available","41-051-2010","AQS"
"05/22/2017","14","","Portland - SE Lafayette","41-051-0080","AQS"
"05/25/2017","13","","Portland - SE Lafayette","41-051-0080","AQS"
"05/28/2017","11","","Portland - SE Lafayette","41-051-0080","AQS"
"05/31/2017","19","","Not Available","41-051-2008","AQS"
"06/03/2017","6","","Portland - SE Lafayette","41-051-0080","AQS"
"06/06/2017","16","","Portland - SE Lafayette","41-051-0080","AQS"
