"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/03/2021","19","","Donovan","06-073-1014","AQS"
"07/06/2021","16","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"07/07/2021","24","","Donovan","06-073-1014","AQS"
"07/09/2021","31","","Donovan","06-073-1014","AQS"
"07/12/2021","15","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"07/15/2021","24","","Donovan","06-073-1014","AQS"
"07/18/2021","19","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"07/21/2021","28","","Donovan","06-073-1014","AQS"
"07/24/2021","28","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"07/27/2021","21","","Donovan","06-073-1014","AQS"
"07/28/2021","25","","Donovan","06-073-1014","AQS"
"07/30/2021","19","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"08/02/2021","52","","Donovan","06-073-1014","AQS"
"08/04/2021","29","","Donovan","06-073-1014","AQS"
"08/05/2021","31","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"08/08/2021","28","","Donovan","06-073-1014","AQS"
"08/11/2021","25","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"08/14/2021","40","","Donovan","06-073-1014","AQS"
"08/15/2021","22","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"08/17/2021","19","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"08/20/2021","16","","Donovan","06-073-1014","AQS"
"08/23/2021","21","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"08/26/2021","62","","Donovan","06-073-1014","AQS"
"08/29/2021","27","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"09/01/2021","32","","Donovan","06-073-1014","AQS"
"09/04/2021","19","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"09/07/2021","35","","Donovan","06-073-1014","AQS"
"09/10/2021","23","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"09/13/2021","39","","Donovan","06-073-1014","AQS"
"09/16/2021","21","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"09/19/2021","26","","Donovan","06-073-1014","AQS"
"09/22/2021","21","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"09/25/2021","31","","Donovan","06-073-1014","AQS"
"09/28/2021","16","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"10/01/2021","75","","Donovan","06-073-1014","AQS"
"10/04/2021","27","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"10/07/2021","17","","Donovan","06-073-1014","AQS"
"10/10/2021","14","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"10/13/2021","65","","Donovan","06-073-1014","AQS"
"10/16/2021","22","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"10/19/2021","31","","Donovan","06-073-1014","AQS"
"10/22/2021","15","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"10/25/2021","29","","Donovan","06-073-1014","AQS"
"10/28/2021","15","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"10/31/2021","19","","Donovan","06-073-1014","AQS"
"11/03/2021","19","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"11/06/2021","36","","Donovan","06-073-1014","AQS"
"11/09/2021","18","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"11/12/2021","84","","Donovan","06-073-1014","AQS"
"11/15/2021","23","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"11/18/2021","56","","Donovan","06-073-1014","AQS"
"11/21/2021","21","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"11/24/2021","60","","Donovan","06-073-1014","AQS"
"11/27/2021","22","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"11/30/2021","83","","Donovan","06-073-1014","AQS"
"12/03/2021","32","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"12/06/2021","50","","Donovan","06-073-1014","AQS"
"12/09/2021","9","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"12/12/2021","30","","Donovan","06-073-1014","AQS"
"12/18/2021","28","","Donovan","06-073-1014","AQS"
"12/21/2021","34","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"12/22/2021","31","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"12/24/2021","16","","Chula Vista","06-073-0001","AQS"
"12/27/2021","9","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"12/30/2021","9","","Chula Vista","06-073-0001","AQS"
"01/02/2022","15","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"01/05/2022","49","","Donovan","06-073-1014","AQS"
"01/08/2022","17","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"01/11/2022","55","","Donovan","06-073-1014","AQS"
"01/14/2022","29","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"01/17/2022","15","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"01/20/2022","14","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"01/23/2022","15","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"01/26/2022","19","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"01/29/2022","38","","Donovan","06-073-1014","AQS"
"01/30/2022","19","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"02/01/2022","26","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"02/04/2022","22","","Chula Vista","06-073-0001","AQS"
"02/05/2022","23","","Donovan","06-073-1014","AQS"
"02/07/2022","19","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"02/10/2022","59","","Donovan","06-073-1014","AQS"
"02/13/2022","15","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"02/16/2022","24","","Donovan","06-073-1014","AQS"
"02/19/2022","19","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"02/22/2022","11","","Donovan","06-073-1014","AQS"
"02/25/2022","16","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"02/28/2022","53","","Donovan","06-073-1014","AQS"
"03/03/2022","26","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"03/06/2022","13","","Chula Vista","06-073-0001","AQS"
"03/09/2022","16","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"03/12/2022","41","","Donovan","06-073-1014","AQS"
"03/15/2022","26","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"03/18/2022","60","","Donovan","06-073-1014","AQS"
"03/21/2022","21","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"03/24/2022","59","","Donovan","06-073-1014","AQS"
"03/27/2022","17","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"03/30/2022","17","","Chula Vista","06-073-0001","AQS"
"03/31/2022","18","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"04/02/2022","18","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"04/05/2022","31","","Chula Vista","06-073-0001","AQS"
"04/08/2022","18","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"04/11/2022","35","","Chula Vista","06-073-0001","AQS"
"04/14/2022","20","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"04/15/2022","21","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"04/17/2022","10","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"04/23/2022","14","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"04/26/2022","25","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"04/29/2022","33","","Chula Vista","06-073-0001","AQS"
"05/02/2022","28","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"05/05/2022","33","","Chula Vista","06-073-0001","AQS"
"05/08/2022","27","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"05/11/2022","20","","Chula Vista","06-073-0001","AQS"
"05/14/2022","24","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"05/17/2022","23","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"05/18/2022","27","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"05/19/2022","34","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"05/20/2022","17","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"05/21/2022","18","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"05/22/2022","20","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"05/23/2022","25","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"05/24/2022","30","","Donovan","06-073-1014","AQS"
"05/25/2022","44","","Donovan","06-073-1014","AQS"
"05/26/2022","24","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"05/27/2022","15","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"05/28/2022","12","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"05/29/2022","27","","Donovan","06-073-1014","AQS"
"05/30/2022","33","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"05/31/2022","39","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/01/2022","35","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/02/2022","37","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/03/2022","32","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/04/2022","22","","Donovan","06-073-1014","AQS"
"06/05/2022","14","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/06/2022","8","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/07/2022","37","","Donovan","06-073-1014","AQS"
"06/08/2022","33","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/09/2022","30","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/10/2022","44","","Donovan","06-073-1014","AQS"
"06/11/2022","17","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/12/2022","12","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/13/2022","38","","Donovan","06-073-1014","AQS"
"06/14/2022","29","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/15/2022","43","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/16/2022","46","","Donovan","06-073-1014","AQS"
"06/17/2022","27","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/18/2022","19","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/19/2022","30","","Donovan","06-073-1014","AQS"
"06/20/2022","26","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/21/2022","33","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/22/2022","51","","Donovan","06-073-1014","AQS"
"06/23/2022","28","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/24/2022","24","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/25/2022","34","","Donovan","06-073-1014","AQS"
"06/26/2022","24","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/27/2022","25","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/28/2022","70","","Donovan","06-073-1014","AQS"
"06/29/2022","28","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"06/30/2022","28","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/01/2022","32","","Donovan","06-073-1014","AQS"
"07/02/2022","20","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/03/2022","18","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/04/2022","30","","Donovan","06-073-1014","AQS"
"07/05/2022","16","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/06/2022","14","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/07/2022","15","","El Cajon - Lexington Elementary School","06-073-1022","AQS"
"07/08/2022","15","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/09/2022","17","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/10/2022","18","","Donovan","06-073-1014","AQS"
"07/11/2022","19","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/12/2022","13","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/13/2022","15","","Donovan","06-073-1014","AQS"
"07/14/2022","14","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/15/2022","19","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/16/2022","31","","Donovan","06-073-1014","AQS"
"07/17/2022","17","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/18/2022","19","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/19/2022","51","","Donovan","06-073-1014","AQS"
"07/20/2022","18","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/21/2022","18","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/22/2022","28","","Donovan","06-073-1014","AQS"
"07/23/2022","24","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/24/2022","23","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/25/2022","24","","Donovan","06-073-1014","AQS"
"07/26/2022","17","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/27/2022","15","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/28/2022","19","","Donovan","06-073-1014","AQS"
"07/29/2022","16","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/30/2022","13","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"07/31/2022","18","","Donovan","06-073-1014","AQS"
"08/01/2022","12","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"08/02/2022","15","","San Diego - Sherman Elementary School","06-073-1026","AQS"
"08/03/2022","25","","Donovan","06-073-1014","AQS"
"08/04/2022","28","","Donovan","06-073-1014","AQS"
"08/05/2022","48","","Donovan","06-073-1014","AQS"
"08/06/2022","26","","Donovan","06-073-1014","AQS"
"08/07/2022","35","","Donovan","06-073-1014","AQS"
"08/08/2022","52","","Donovan","06-073-1014","AQS"
"08/09/2022","41","","Donovan","06-073-1014","AQS"
"08/10/2022","47","","Donovan","06-073-1014","AQS"
"08/11/2022","53","","Donovan","06-073-1014","AQS"
"08/12/2022","53","","Donovan","06-073-1014","AQS"
"08/13/2022","43","","Donovan","06-073-1014","AQS"
"08/14/2022","42","","Donovan","06-073-1014","AQS"
"08/15/2022","39","","Donovan","06-073-1014","AQS"
"08/16/2022","53","","Donovan","06-073-1014","AQS"
"08/17/2022","54","","Donovan","06-073-1014","AQS"
"08/18/2022","31","","Donovan","06-073-1014","AQS"
"08/19/2022","31","","Donovan","06-073-1014","AQS"
"08/20/2022","42","","Donovan","06-073-1014","AQS"
"08/21/2022","27","","Donovan","06-073-1014","AQS"
"08/22/2022","27","","Donovan","06-073-1014","AQS"
"08/23/2022","39","","Donovan","06-073-1014","AQS"
"08/24/2022","41","","Donovan","06-073-1014","AQS"
"08/25/2022","23","","Donovan","06-073-1014","AQS"
"08/26/2022","40","","Donovan","06-073-1014","AQS"
"08/27/2022","22","","Donovan","06-073-1014","AQS"
"08/28/2022","18","","Donovan","06-073-1014","AQS"
"08/29/2022","31","","Donovan","06-073-1014","AQS"
"08/30/2022","38","","Donovan","06-073-1014","AQS"
"08/31/2022","79","","Donovan","06-073-1014","AQS"
"09/01/2022","101","","Donovan","06-073-1014","AQS"
"09/02/2022","66","","Donovan","06-073-1014","AQS"
"09/03/2022","71","","Donovan","06-073-1014","AQS"
"09/04/2022","40","","Donovan","06-073-1014","AQS"
"09/05/2022","30","","Donovan","06-073-1014","AQS"
"09/06/2022","69","","Donovan","06-073-1014","AQS"
"09/07/2022","99","","Donovan","06-073-1014","AQS"
"09/08/2022","145","","Donovan","06-073-1014","AQS"
"09/09/2022","55","","Donovan","06-073-1014","AQS"
"09/10/2022","27","","Camp Pendleton","06-073-1008","AQS"
