"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/20/2018","8","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/21/2018","9","","WASHINGTON HS","17-031-0022","AQS"
"02/22/2018","12","","VILLAGE HALL","17-031-1016","AQS"
"02/23/2018","11","","WASHINGTON HS","17-031-0022","AQS"
"02/24/2018","13","","WASHINGTON HS","17-031-0022","AQS"
"02/25/2018","8","","WASHINGTON HS","17-031-0022","AQS"
"02/26/2018","28","","WASHINGTON HS","17-031-0022","AQS"
"02/27/2018","26","","VILLAGE HALL","17-031-1016","AQS"
"02/28/2018","25","","WASHINGTON HS","17-031-0022","AQS"
"03/01/2018","12","","Portage- Hwy 12","18-127-0023","AQS"
"03/02/2018","20","","WASHINGTON HS","17-031-0022","AQS"
"03/03/2018","34","","Gary- Madison St./ Gary Water/ IN American Water Co.","18-089-0031","AQS"
"03/04/2018","18","","WASHINGTON HS","17-031-0022","AQS"
"03/05/2018","28","","VILLAGE HALL","17-031-1016","AQS"
"03/06/2018","13","","VILLAGE HALL","17-031-1016","AQS"
"03/07/2018","12","","VILLAGE HALL","17-031-1016","AQS"
"03/08/2018","51","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/09/2018","22","","Gary- Madison St./ Gary Water/ IN American Water Co.","18-089-0031","AQS"
"03/10/2018","19","","VILLAGE HALL","17-031-1016","AQS"
"03/11/2018","29","","Portage- Hwy 12","18-127-0023","AQS"
"03/12/2018","31","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/13/2018","51","","Portage- Hwy 12","18-127-0023","AQS"
"03/14/2018","54","","WASHINGTON HS","17-031-0022","AQS"
"03/15/2018","43","","Gary- Madison St./ Gary Water/ IN American Water Co.","18-089-0031","AQS"
"03/16/2018","23","","Portage- Hwy 12","18-127-0023","AQS"
